經度,緯度,數量,路線
櫻花,121.61447627,24.65536178,17,台7丙線
山芙蓉,121.61448354,24.65536820,7,台7丙線
櫻花,121.61492107,24.65646975,63,台7丙線
紫薇,121.61494265,24.65650935,1,台7丙線
櫻花,121.61526804,24.65717812,8,台7丙線
櫻花,121.61574896,24.65833719,25,台7丙線
紫薇,121.61575143,24.65836854,1,台7丙線
櫻花,121.61657006,24.65850074,23,台7丙線
櫻花,121.61785144,24.65811516,22,台7丙線
櫻花,121.61902873,24.65810724,18,台7丙線
茄苳,121.61970770,24.65839810,17,台7丙線
茄苳,121.62020644,24.65912254,23,台7丙線
茄苳,121.62087631,24.65954818,23,台7丙線
茄苳,121.62130195,24.66087949,21,台7丙線
茄苳,121.62479446,24.66198697,8,台7丙線
茄苳,121.62641689,24.66210703,18,台7丙線
茄苳,121.62728595,24.66224552,17,台7丙線
茄苳,121.62805760,24.66232070,20,台7丙線
茄苳,121.62958901,24.66243378,19,台7丙線
茄苳,121.63040773,24.66259902,18,台7丙線
茄苳,121.63100454,24.66263510,15,台7丙線
茄苳,121.63230190,24.66285908,11,台7丙線
茄苳,121.63397161,24.66318469,21,台7丙線
茄苳,121.63501365,24.66336066,9,台7丙線
茄苳,121.63585350,24.66351837,16,台7丙線
茄苳,121.63681604,24.66368226,18,台7丙線
茄苳,121.63853044,24.66400290,35,台7丙線
茄苳,121.63996626,24.66427312,27,台7丙線
茄苳,121.64142361,24.66451075,5,台7丙線
茄苳,121.64324403,24.66480736,17,台7丙線
茄苳,121.64416540,24.66497859,17,台7丙線
茄苳,121.64687448,24.66536912,7,台7丙線
茄苳,121.66956618,24.66791295,26,台7丙線
茄苳,121.67042218,24.66787006,14,台7丙線
茄苳,121.67227901,24.66775639,22,台7丙線
茄苳,121.67425327,24.66762311,34,台7丙線
茄苳,121.67575346,24.66754265,20,台7丙線
茄苳,121.67679584,24.66756212,22,台7丙線
茄苳,121.67814788,24.66747942,22,台7丙線
茄苳,121.67928145,24.66743985,27,台7丙線
茄苳,121.68213975,24.66742234,36,台7丙線
茄苳,121.68321916,24.66736421,10,台7丙線
茄苳,121.68414679,24.66732335,10,台7丙線
茄苳,121.68536868,24.66730588,17,台7丙線
茄苳,121.68893863,24.66746823,37,台7丙線
茄苳,121.69028299,24.66771500,16,台7丙線
茄苳,121.69159654,24.66792605,34,台7丙線
茄苳,121.69322489,24.66804389,25,台7丙線
茄苳,121.69650244,24.66722329,31,台7丙線
茄苳,121.69774208,24.66722566,25,台7丙線
茄苳,121.69904127,24.66723038,29,台7丙線
茄苳,121.69989965,24.66723083,18,台7丙線
茄苳,121.70070315,24.66723633,14,台7丙線
茄苳,121.70401868,24.66853576,29,台7丙線
茄苳,121.70530742,24.66894092,31,台7丙線
茄苳,121.70677460,24.66925635,16,台7丙線
茄苳,121.70862421,24.66973460,19,台7丙線
茄苳,121.71139348,24.67021119,20,台7丙線
茄苳,121.71324020,24.67014335,32,台7丙線
茄苳,121.71481319,24.67009884,8,台7丙線
茄苳,121.71791134,24.66996795,31,台7丙線
茄苳,121.71940413,24.66989379,28,台7丙線
茄苳,121.72209545,24.66980988,42,台7丙線
茄苳,121.72387583,24.66972232,24,台7丙線
茄苳,121.72477233,24.66970700,6,台7丙線
茄苳,121.72748668,24.66960758,38,台7丙線
